ID;UF;LON;LAT;ANNUAL;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
4263;São Paulo;-48.1490;-25.3005;3928;4649;4775;4338;4077;3592;3204;3110;3720;3372;3461;4255;4587
4330;São Paulo;-47.9490;-25.2005;4147;4871;5054;4644;4347;3744;3316;3237;3828;3610;3743;4532;4835
4393;São Paulo;-48.2490;-25.1005;3947;4482;4711;4298;4083;3635;3371;3282;3962;3433;3524;4100;4487
4397;São Paulo;-47.8490;-25.1005;4341;5001;5305;4903;4571;3846;3445;3386;3933;3903;4008;4732;5061
4459;São Paulo;-48.3490;-25.0005;4087;4532;4775;4370;4147;3715;3464;3426;4203;3720;3777;4289;4623
4463;São Paulo;-47.9490;-25.0005;4112;4724;4992;4567;4335;3759;3367;3327;3889;3583;3683;4388;4724
4526;São Paulo;-48.3490;-24.9005;4142;4608;4871;4433;4195;3744;3466;3453;4258;3770;3877;4333;4692
4530;São Paulo;-47.9490;-24.9005;4148;4749;5057;4626;4391;3779;3382;3333;3955;3636;3751;4385;4735
4593;São Paulo;-48.5490;-24.8005;4231;4740;4992;4657;4325;3768;3381;3406;4239;3854;4062;4506;4846
4597;São Paulo;-48.1490;-24.8005;4192;4697;5064;4581;4387;3810;3500;3419;4103;3721;3861;4407;4750
4601;São Paulo;-47.7490;-24.8005;4254;4935;5228;4771;4498;3859;3401;3345;3951;3747;3867;4560;4888
4655;São Paulo;-49.2490;-24.7005;4345;4788;4948;4792;4395;3795;3379;3490;4453;4131;4265;4780;4931
4659;São Paulo;-48.8490;-24.7005;4417;4928;5152;4906;4539;3889;3441;3501;4414;4124;4276;4774;5063
4663;São Paulo;-48.4490;-24.7005;4203;4732;5003;4617;4286;3749;3480;3429;4168;3819;3962;4406;4783
4667;São Paulo;-48.0490;-24.7005;4251;4867;5160;4731;4470;3906;3510;3424;4002;3741;3913;4463;4821
4671;São Paulo;-47.6490;-24.7005;4247;4963;5274;4731;4513;3816;3382;3295;3894;3724;3862;4554;4951
4725;São Paulo;-49.3490;-24.6005;4326;4569;4858;4635;4356;3837;3545;3632;4634;4123;4219;4672;4834
4729;São Paulo;-48.9490;-24.6005;4362;4749;5003;4760;4457;3830;3486;3577;4477;4120;4286;4699;4905
4733;São Paulo;-48.5490;-24.6005;4247;4756;5017;4690;4440;3831;3436;3420;4223;3863;4007;4461;4821
4737;São Paulo;-48.1490;-24.6005;4211;4792;5100;4680;4467;3837;3512;3430;4048;3715;3803;4378;4778
4741;São Paulo;-47.7490;-24.6005;4213;4922;5237;4698;4462;3801;3415;3291;3852;3697;3823;4441;4912
4745;São Paulo;-47.3490;-24.6005;4218;4993;5275;4726;4522;3795;3362;3248;3788;3639;3823;4514;4931
4799;São Paulo;-49.1490;-24.5005;4402;4651;4904;4728;4471;3901;3655;3682;4683;4222;4344;4700;4882
4803;São Paulo;-48.7490;-24.5005;4298;4623;4923;4563;4384;3841;3644;3669;4531;4037;4102;4484;4770
4807;São Paulo;-48.3490;-24.5005;4110;4600;4828;4469;4343;3755;3440;3399;4091;3692;3779;4284;4642
4811;São Paulo;-47.9490;-24.5005;4162;4794;5107;4621;4405;3794;3403;3331;3910;3666;3767;4356;4788
4815;São Paulo;-47.5490;-24.5005;4150;4806;5156;4627;4434;3752;3357;3289;3811;3636;3731;4355;4847
4819;São Paulo;-47.1490;-24.5005;4131;4752;5043;4572;4479;3822;3434;3370;3886;3587;3622;4329;4678
4874;São Paulo;-49.1490;-24.4005;4519;4640;4972;4795;4576;3993;3846;3921;4913;4401;4460;4756;4950
4878;São Paulo;-48.7490;-24.4005;4433;4670;5018;4700;4524;3956;3801;3827;4737;4209;4263;4584;4904
4882;São Paulo;-48.3490;-24.4005;4089;4500;4704;4359;4221;3728;3539;3476;4187;3770;3776;4227;4577
4886;São Paulo;-47.9490;-24.4005;4105;4718;5020;4540;4396;3724;3363;3293;3864;3636;3677;4299;4736
4890;São Paulo;-47.5490;-24.4005;4104;4699;5074;4520;4374;3745;3378;3314;3830;3619;3674;4249;4774
4894;São Paulo;-47.1490;-24.4005;4075;4585;4925;4426;4266;3771;3495;3445;4004;3597;3623;4144;4618
4949;São Paulo;-49.3490;-24.3005;4749;4836;5187;5005;4846;4213;3996;4165;5157;4693;4675;5056;5156
4953;São Paulo;-48.9490;-24.3005;4603;4833;5104;4797;4664;4086;3922;4043;4985;4473;4509;4789;5029
4957;São Paulo;-48.5490;-24.3005;4411;4704;4995;4668;4529;3970;3795;3789;4659;4154;4198;4580;4897
4961;São Paulo;-48.1490;-24.3005;4006;4451;4729;4339;4242;3656;3463;3386;4026;3536;3596;4132;4517
4965;São Paulo;-47.7490;-24.3005;4087;4636;5034;4527;4357;3681;3392;3305;3870;3596;3678;4278;4693
4969;São Paulo;-47.3490;-24.3005;4272;4715;5120;4700;4494;3899;3589;3574;4178;3870;3893;4388;4847
4973;São Paulo;-46.9490;-24.3005;4327;4789;5168;4740;4650;3986;3699;3650;4181;3857;3884;4487;4831
5027;São Paulo;-49.1490;-24.2005;4836;4926;5253;5079;4927;4292;4068;4255;5199;4812;4823;5106;5289
5031;São Paulo;-48.7490;-24.2005;4690;4926;5222;4931;4760;4145;3955;4095;5008;4537;4592;4922;5186
5035;São Paulo;-48.3490;-24.2005;4501;4770;5083;4790;4635;4016;3861;3848;4726;4280;4306;4681;5011
5039;São Paulo;-47.9490;-24.2005;4046;4457;4816;4395;4255;3681;3474;3410;4023;3599;3682;4174;4582
5043;São Paulo;-47.5490;-24.2005;4145;4572;5005;4569;4408;3788;3519;3434;4063;3715;3701;4270;4696
5047;São Paulo;-47.1490;-24.2005;4237;4599;5037;4648;4486;3942;3661;3612;4219;3776;3851;4283;4724
5051;São Paulo;-46.7490;-24.2005;4327;4847;5219;4760;4674;4000;3667;3624;4166;3806;3877;4483;4803
